Tag	Precision	Recall	F1
publisher	0.9833867029987694	0.9686572800972459	0.97581289163192
lpage	0.9959780454386127	0.9083007424177587	0.9500679708674518
surname	0.9616137136199103	0.9314577325152763	0.9462196360511574
title	0.9731121915572285	0.9820163739105698	0.9775296946482651
url	0.984144687075247	0.8732209318488051	0.9238457904024461
volume	0.9516655272099829	0.9600477729140149	0.9556804327871722
source	0.9808872723757496	0.9665234769755532	0.9736150631066851
given-names	0.9568932805846269	0.9523719291787309	0.9544110893819363
editor	0.9484413992385188	0.9535314094551799	0.9508557514062808
fpage	0.990801240822934	0.9717700257059472	0.9811695257809261
year	0.9294330229423803	0.934471714591219	0.9319262972801283
issue	0.9485683403834729	0.9280839190101545	0.938095052568342
other	0.95685053287825	0.9151339727218868	0.9353124103800109
