1. Dealey C. Cuidando de feridas: um guia para enfermeiras. 3. ed. São Paulo: Atheneu; 2008.
2. Harrison MB, Ian ID, Lorimer K,et al. Nurse clinic versus home delivery of evidence-based community leg ulcer care: A randomized health services trial. BMC Health Services Research. 2008;8:243.
3. Opromolla DVA. Úlceras de perna. In: Jorge SA, Dantas SRPE. Abordagem multiprofissional no tratamento de feridas. São Paulo: Atheneu; 2003. p. 271-8.
4. Bevis P, Earnshaw J. Venous ulcer review. Clinical, Cosmetic and Investigational Dermatology. 2011;4:7–14.
5. Frade MAC, Cursi IB, Andrade FF, Soares SC, Ribeiro WS, Santos WSR, et al. Úlcera de perna: um estudo de casos em Juiz de Fora - MG Brasil e região. An Bras Dermatol. 2005;80(1):41-6.
6. Chatterjee SS. Venous ulcers of the lower limb: Where do we stand? Indian J Plast Surg. 2012;45(2):266–74.
7. Sant'ana SMSC, Bachion MM, Santos QR, Nunes CAB, Malaquias SG, Oliveira BGRG. Úlceras venosas: caracterização clínica e tratamento em usuários atendidos em rede ambulatorial. Rev bras enferm. 2012; 65(4):637-44.
8. Heinen MM, Persoon A, Kerkhof P, Otero M, Achterberg T. Ulcer-related problems and health care needes in patients with venous leg ulceration: a descriptive, cross-sectional study. Int J Nurs Stud. 2006;44(8):1296-303.
9. Malaquias SG, Bachion MM, Sant’Ana SMCS, Dallarmi CCB, Lino Júnior RS, Ferreira PS. People with vascular ulcers in outpatient nursing care: a study of sociodemographic and clinical variables. Rev Esc Enferm USP. 2012;46(2):302-10.
10.Alvarado LC, Silva FP, Fogaça V, Beluomini RDG, Dantas SRPE. Pain in outpatients with chronic venous ulcer. Rev Estima. 2011 [cited 2013 Jan 03];9(1):14-23. Available from: http://www.revistaestima.com.br/index.php?option=com_content&view=article&id=274%3A artigo-original-2&catid=18%3Aedicao91&Itemid=43&lang=pt.
1.Lino Junior RS, Ferreira PS,Etufugh CN, Phillips TJ. Venous ulcers. Clin Dermatol. 2007;25(1):121-30.
12. Morrell CJ, Walters SJ, Dixon S,Collins KA, Brereton LML, Peters J, et al. Cost effectiveness of community leg ulcer clinics: Randomised controlled trial. British Medical Journal. 1998;316(7261):1487-91.
13. Martins MA, Tipple AFV, Reis C, Santiago SB, Bachion MM. Úlcera crônica de perna de pacientes em tratamento ambulatorial: análise microbiológica e de suscetibilidade antimicrobiana. Cienc Cuid Saude. 2010;9(3):464-70.
14. Martins DA, Souza AM. O perfil dos portadores de úlcera varicosa cadastrados em programas de saúde pública. Cogitare Enferm. 2007;12(3):353-7
15. Borges EL, Caliri MHL, Haas VJ. Revisão sistemática do tratamento tópico da úlcera venosa. Rev Latino-am Enfermagem. 2007;15(6):1163-70.
16. Heit JA, Rooke TW, Silverstein MD, Mohr DN, Lohse CM, Petterson TM, et al. Trends in the incidence of venous stasis syndrome and venous ulcer: a 25-year population-based study. J Vasc Surg [Internet]. 2001 [cited 2012 Sept 3];33(5):1022-7. Available from: http://www.ncbi.nlm.nih.gov/pubmed/11331844.
17. Brasil. Ministério da Saúde. Secretaria de Políticas de Saúde. Departamento de Atenção Básica. Manual de condutas para úlceras neurotróficas e traumáticas.Brasília: Ministério da Saúde; 2002.
18. Parisi MCR. Ulceras no pé diabético. In: Jorge SA, Dantas SRPE. Abordagem multiprofissional no tratamento de feridas. São Paulo: Atheneu; 2003. p. 279-86.
19. Nóbrega WG. Qualidade de vida de pessoas com úlceras venosas atendidos no ambulatório de um hospital universitário [dissertação]. Natal (RN): Departamento de Enfermagem, Universidade Federal do Rio Grande do Norte; 2009.
20. Franks PJ, Moffatt CJ. Do clinical and social factors predict quality of life in leg ulceration? Int j low Extreme wounds. 2006; 5(4):236-43.
21. Silva LD, Pazos AL. A influência da dor na qualidade de vida do paciente com lesão crônica de pele. Rev Enferm UERJ [Internet]. 2005 [cited 2013 Jan 03];13:375-81. Available from: http://www.scielo.br/pdf/ean/v10n2/a16v10n2.pdf.
22. Abbade LPF, Lastoria S, Rollo HA. Venous ulcer: clinical characteristics and risk factors. Int J Dermatol. 2011;50:405-11.
23. Finlayson K, Edwards H, Courtney M. Factors associated with recurrence of venous leg ulcers: a survey and retrospective chart review. Int J Nurs Stud. 2009;46(8):1071-8.
